exchange,asset,frequency,year,N,K_opt,n_opt,L_used,H_standard,log_W_min_std,log_W_max_std,H_wide,log_W_min_wide,log_W_max_wide
binanceus,BTC_USDT,10m,2024,12959,113,114,12882,,-5.896304035739349,-0.17976532225297878,,-11.60636330512799,-0.01805533277811215
binanceus,BTC_USDT,15m,2024,8639,92,93,8556,,-5.728365604505023,-0.17989413801749812,,-11.051005223394709,-0.018071860755552498
binanceus,BTC_USDT,1m,2024,129599,359,361,129599,,-5.419249849483612,-0.17609873223830397,,-9.247982547077411,-0.017703639908351564
binanceus,BTC_USDT,5m,2024,25919,160,161,25760,,-5.752471815329704,-0.17871828654991725,,-11.239369314078456,-0.01795089784326488
binanceus,ETH_USDT,10m,2020,12959,113,114,12882,,-4.26437858064554,-0.1441494734810965,,-7.070715341874102,-0.014506381095313922
binanceus,ETH_USDT,10m,2021,12959,113,114,12882,,-4.795197866869319,-0.13552521629282072,,-8.75632879394614,-0.013582874443033872
binanceus,ETH_USDT,10m,2022,12959,113,114,12882,,-4.038134476522764,-0.1755556277112176,,-5.018881743678272,-0.017682838039741147
binanceus,ETH_USDT,10m,2023,12959,113,114,12882,,-6.961610762776629,-0.19303819823549268,,-15.067860616643825,-0.01935116481582179
binanceus,ETH_USDT,10m,2024,12959,113,114,12882,,-5.403848376525231,-0.16666689904083593,,-10.133332402582806,-0.016735939231261033
binanceus,ETH_USDT,15m,2020,8639,92,93,8556,,-4.520034031404741,-0.14123432958079396,,-8.579160735525974,-0.014194824919734818
binanceus,ETH_USDT,15m,2021,8639,92,93,8556,,-4.78198312728737,-0.13395858207003422,,-9.8043601129268,-0.013426879560574171
binanceus,ETH_USDT,15m,2022,8639,92,93,8556,,-4.292182419599736,-0.17768599571992885,,-6.186041344705809,-0.01789066666510052
binanceus,ETH_USDT,15m,2023,8639,92,93,8556,,-7.047050510974301,-0.1922242104980541,,-15.961741083793815,-0.019264381781302162
binanceus,ETH_USDT,15m,2024,8639,92,93,8556,,-5.4168991268640365,-0.16652838591433894,,-10.68339926202877,-0.01671998821368529
binanceus,ETH_USDT,1m,2020,129599,359,361,129599,,-4.453253767808271,-0.19442667575123088,,-5.832693532172667,-0.0196837798643629
binanceus,ETH_USDT,1m,2021,129599,359,361,129599,,-4.769767742114513,-0.14716097005189493,,-7.195003595478627,-0.014775324196212181
binanceus,ETH_USDT,1m,2022,129599,359,361,129599,,-3.744248758936288,-0.20591165079815996,,-3.7558162505208696,-0.020787090658451975
binanceus,ETH_USDT,1m,2023,129599,359,361,129599,,-7.194316972251567,-0.22485638796336374,,-13.896628554446298,-0.02261178246218179
binanceus,ETH_USDT,1m,2024,129599,359,361,129599,,-5.303171515192796,-0.18382655621640237,,-8.644435900398031,-0.018516676487416475
binanceus,ETH_USDT,5m,2020,25919,160,161,25760,,-4.374469502666341,-0.15363440531735237,,-7.368170734547493,-0.015484051551657869
binanceus,ETH_USDT,5m,2021,25919,160,161,25760,,-4.727481781522253,-0.13462951054901773,,-9.56215265048969,-0.013499861104510765
binanceus,ETH_USDT,5m,2022,25919,160,161,25760,,-3.9058368375203054,-0.17812574858586083,,-4.286529322656588,-0.017948081621799006
binanceus,ETH_USDT,5m,2023,25919,160,161,25760,,-6.887566888179216,-0.19489323863424843,,-14.492252898434916,-0.019548447041916175
binanceus,ETH_USDT,5m,2024,25919,160,161,25760,,-5.342585743915622,-0.16740277619880303,,-9.912078480097923,-0.016814946433533595
coinbase,BTC_USDT,10m,2020,12956,113,114,12882,,-5.666450757085093,-0.1752141553787672,,-10.99381375119672,-0.017601529077072738
coinbase,BTC_USDT,10m,2021,12959,113,114,12882,,-5.115895971578838,-0.15010011257786834,,-9.313329868943963,-0.015048038817941953
coinbase,BTC_USDT,10m,2022,12959,113,114,12882,,-5.39585995850541,-0.21948593651444745,,-8.533925298561563,-0.02209352712800028
coinbase,BTC_USDT,10m,2023,12959,113,114,12882,,-8.452222345942818,-0.2504091122137589,,-17.443259157219423,-0.025148430764738713
coinbase,BTC_USDT,10m,2024,12955,113,114,12882,,-5.646681117988691,-0.17601180988874043,,-10.891506265253165,-0.01769098282703513
coinbase,BTC_USDT,15m,2020,8636,92,93,8556,,-5.4863997008921235,-0.174158581850899,,-10.064906738469357,-0.017490837804662197
coinbase,BTC_USDT,15m,2021,8639,92,93,8556,,-5.434248293256141,-0.15091039011363983,,-11.576740309500453,-0.015121677678218716
coinbase,BTC_USDT,15m,2022,8639,92,93,8556,,-5.672560817373038,-0.22012141961436138,,-9.39757323072675,-0.022151513049828587
coinbase,BTC_USDT,15m,2023,8639,92,93,8556,,-8.2078924028357,-0.24965373186380369,,-16.10825737970169,-0.02506605468333183
coinbase,BTC_USDT,15m,2024,8636,92,93,8556,,-5.5858945906959,-0.17505197556236585,,-10.946327971556979,-0.01759396072678925
coinbase,BTC_USDT,1m,2020,129596,359,360,129240,,-5.209321230061502,-0.18144767457449987,,-7.191006299943961,-0.01824746257942634
coinbase,BTC_USDT,1m,2021,129599,359,361,129599,,-5.1460396767289245,-0.15233990908638617,,-9.271597755056705,-0.015276796769693284
coinbase,BTC_USDT,1m,2022,129599,359,361,129599,,-4.975232172960651,-0.2221760683575366,,-5.804265012867502,-0.022380915606851258
coinbase,BTC_USDT,1m,2023,129599,359,361,129599,,-7.71730981334169,-0.2576254197874583,,-12.96617004502823,-0.025922467226372314
coinbase,BTC_USDT,1m,2024,129574,359,360,129240,,-5.227441246320863,-0.1781522898633757,,-8.944230810164907,-0.017924416078337828
coinbase,BTC_USDT,5m,2020,25916,160,161,25760,,-5.543714715760312,-0.17389338358743295,,-10.460117632848716,-0.01746924833671603
coinbase,BTC_USDT,5m,2021,25919,160,161,25760,,-5.054304534466014,-0.14891064512092303,,-8.84258387040586,-0.014930514153416409
coinbase,BTC_USDT,5m,2022,25919,160,161,25760,,-5.190415502553761,-0.21880221934488683,,-7.380776977098183,-0.022027101253411105
coinbase,BTC_USDT,5m,2023,25919,160,161,25760,,-8.12070904776828,-0.25132158840895413,,-15.22831127600139,-0.025251954718697418
coinbase,BTC_USDT,5m,2024,25913,160,161,25760,,-5.551775101523589,-0.1763033412566177,,-10.89342029272676,-0.017726471690108995
coinbase,ETH_USDT,10m,2020,12774,113,113,12769,0.1330535554967468,-1.5059397418855607,-0.10391734201599145,0.19481886024738818,-1.5053761930790912,4.2313835447159445
coinbase,ETH_USDT,10m,2021,12959,113,114,12882,,-4.015757750866587,-0.1208408543387996,,-6.1648808006049,-0.01211863113794184
coinbase,ETH_USDT,10m,2022,12959,113,114,12882,,-4.119399042325328,-0.17953906716685303,,-5.241827103400625,-0.018076620322104036
coinbase,ETH_USDT,10m,2023,12959,113,114,12882,,-8.280153922751454,-0.24358694916390386,,-15.633272883192713,-0.024435490481079673
coinbase,ETH_USDT,10m,2024,12955,113,114,12882,,-5.3315444666743925,-0.1660137947830391,,-10.082612890478455,-0.016676364307339753
coinbase,ETH_USDT,15m,2020,8471,92,92,8464,0.09899054452228626,-1.5611492187566802,-0.10348209921852373,0.18436544387818907,-1.560718832513135,3.641596034509617
coinbase,ETH_USDT,15m,2021,8639,92,93,8556,,-4.261512589320791,-0.12130432869214175,,-8.622169519388638,-0.01216338808798715
coinbase,ETH_USDT,15m,2022,8639,92,93,8556,,-4.437883859170847,-0.1804898532281897,,-6.617220824443273,-0.0181713560440415
coinbase,ETH_USDT,15m,2023,8639,92,93,8556,,-7.990101636481804,-0.2429324319943844,,-14.45930161576422,-0.024365404007576738
coinbase,ETH_USDT,15m,2024,8636,92,93,8556,,-5.296344074767925,-0.16457854865739974,,-10.48314718519499,-0.016530851619426728
coinbase,ETH_USDT,1m,2020,129357,359,360,129240,0.20279654933455446,-1.4355048327048423,-0.1059072831885898,0.22358939899856167,-1.4354927784649167,6.514126177518827
coinbase,ETH_USDT,1m,2021,129599,359,361,129599,,-4.038149229061042,-0.12213789396620069,,-6.320436142242401,-0.01225084549091571
coinbase,ETH_USDT,1m,2022,129599,359,361,129599,,-3.7456802854631848,-0.1816693195608955,,-3.7648278408542595,-0.018302546721975354
coinbase,ETH_USDT,1m,2023,129599,359,361,129599,,-7.500453280552272,-0.25026783008787523,,-11.214114518312593,-0.02515515758029331
coinbase,ETH_USDT,1m,2024,129574,359,360,129240,,-5.003958763639483,-0.165726262528449,,-8.517453097431096,-0.016660370332034064
coinbase,ETH_USDT,5m,2020,25723,160,160,25600,0.15809554223430042,-1.4884521078635713,-0.10355259942648669,0.2035105721039866,-1.4884387010081945,4.811538851961933
coinbase,ETH_USDT,5m,2021,25919,160,161,25760,,-3.8699718238963516,-0.11988853562740868,,-4.949684543430687,-0.012025186768072849
coinbase,ETH_USDT,5m,2022,25919,160,161,25760,,-4.07197819846461,-0.1789973712414984,,-4.613185253879496,-0.01802109261181831
coinbase,ETH_USDT,5m,2023,25919,160,161,25760,,-7.915340253598112,-0.2451619707379839,,-13.593439619851246,-0.024608293879448722
coinbase,ETH_USDT,5m,2024,25913,160,161,25760,,-5.259096835649606,-0.16698259529192266,,-9.890178514192758,-0.016779650982427417
okx,BTC_USDT,10m,2020,12959,113,114,12882,,-5.710022103834814,-0.19936129867499716,,-9.902395592289878,-0.0200634791893335
okx,BTC_USDT,15m,2020,8639,92,93,8556,,-5.828793616096998,-0.19831715036364272,,-10.927651182089305,-0.019960352058255894
okx,BTC_USDT,1m,2020,129599,359,361,129599,,-5.565257635685016,-0.20503387467058423,,-9.271183731447096,-0.020689589821371413
okx,BTC_USDT,5m,2020,25919,160,161,25760,,-5.663954517514451,-0.19903366437774808,,-9.939875777372645,-0.020042895664288345
okx,ETH_USDT,10m,2020,12959,113,114,12882,,-4.268261491118207,-0.1392979381804893,,-7.1709359447366685,-0.013999173581808253
okx,ETH_USDT,10m,2021,12959,113,114,12882,,-4.830975417614812,-0.1372144117084667,,-8.613966916042623,-0.013752680005220478
okx,ETH_USDT,10m,2022,12959,113,114,12882,,-4.149630640768274,-0.134291038406664,,-6.752254610139654,-0.013484977677164754
okx,ETH_USDT,15m,2020,8639,92,93,8556,,-4.477843106185938,-0.13807136761195013,,-8.551790918266352,-0.013868736270063952
okx,ETH_USDT,15m,2021,8639,92,93,8556,,-4.813783895551753,-0.13533152800075163,,-9.748505015081557,-0.013565517930606487
okx,ETH_USDT,15m,2022,8639,92,93,8556,,-4.429895325236748,-0.13562495394502372,,-8.37858784620366,-0.013616883379292576
okx,ETH_USDT,1m,2020,129599,359,361,129599,,-4.012465359216432,-0.14054172300286016,,-5.3995912449582555,-0.014133958302768685
okx,ETH_USDT,1m,2021,129599,359,361,129599,,-4.6478033266168275,-0.1402884303644035,,-6.525276409971472,-0.014074397933676252
okx,ETH_USDT,1m,2022,129599,359,361,129599,,-4.170590758126111,-0.14142799044021903,,-6.162653378370402,-0.014212280593231362
okx,ETH_USDT,5m,2020,25919,160,161,25760,,-4.349210241354222,-0.1409776377405836,,-7.513632178852251,-0.014168159151311433
okx,ETH_USDT,5m,2021,25919,160,161,25760,,-4.799266822437486,-0.13730472039168382,,-9.28973277614571,-0.013767750032673427
okx,ETH_USDT,5m,2022,25919,160,161,25760,,-4.1234591193666175,-0.13653363849935973,,-6.606081015071927,-0.013712936159792815
